ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,simple,cosmetic-product-1,Focus Finishing Powder,1,1,visible,"A radiant, long-wear foundation that hydrates and evens skin tone.","The Luxe Hydrating Foundation is designed to provide a flawless complexion while nourishing the skin. Infused with hyaluronic acid and vitamin E, it delivers intense hydration, making it perfect for dry or combination skin types. This foundation offers buildable coverage, allowing you to achieve anything from a natural glow to a full-coverage finish. Its lightweight formula glides on effortlessly, blending seamlessly for a second-skin effect. With a wide range of shades, it caters to all skin tones, ensuring everyone can achieve a luminous, dewy look. Suitable for daily wear, this foundation helps maintain skin's moisture levels throughout the day.",,,taxable,,1,,0,0,,,,,1,,29.76,31,BMakeup,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-1-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-2,Natural mascara,1,1,visible,An advanced eye cream that reduces dark circles and puffiness.,"The Revive Eye Cream is a game-changer for tired eyes. Formulated with caffeine and peptides, it effectively reduces the appearance of dark circles and puffiness, leaving your eyes looking bright and refreshed. The lightweight texture absorbs quickly, making it ideal for layering under makeup or wearing alone. In addition to brightening, this eye cream contains antioxidants that help protect the delicate skin around your eyes from environmental stressors. With continued use, you'll notice smoother, firmer skin that looks revitalized. Perfect for early mornings or late nights, this eye cream is your secret weapon for a well-rested appearance.",,,taxable,,1,,0,0,,,,,1,,56.80,71,BMakeup,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-2-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-3,Booster Face Serum,1,0,visible,A richly pigmented lipstick that offers a velvety matte finish.,"The Silken Matte Lipstick is the ultimate choice for those who crave bold color without sacrificing comfort. With its ultra-creamy formula, this lipstick glides on smoothly and provides full coverage in just one swipe. Enriched with nourishing oils and butters, it hydrates your lips, preventing dryness and flakiness often associated with matte lip products. The lipstick is available in a stunning array of shades, from classic reds to trendy nudes, ensuring you find the perfect hue for any occasion. Its long-lasting formula ensures that you stay vibrant throughout the day, making it a must-have for every makeup bag.",,,taxable,,1,,0,0,,,,,1,,28.90,34,BSkincare,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-3-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-4,Radiance Boost Serum,1,1,visible,A powerful serum that revitalizes and rejuvenates the skin.,"The Nourishing Facial Serum is a potent blend of botanical extracts and vitamins designed to deeply penetrate the skin and deliver transformative results. Packed with antioxidants, this serum combats signs of aging, enhances skin elasticity, and promotes a more youthful complexion. Its lightweight formula absorbs quickly, making it ideal for layering under your favorite moisturizer or sunscreen. With regular use, this serum helps to improve skin texture, reduce fine lines, and restore a radiant glow. Perfect for all skin types, it’s an essential addition to any skincare routine, ensuring your skin looks and feels its best every day.",,,taxable,,1,,0,0,,,,,1,,21.6,24,BFragrances,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-4-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-5,Supernatural Conditioner,1,0,visible,A shimmering highlighter that adds a radiant glow to your complexion.,"The Glow Getter Highlighter is your go-to product for achieving a luminous, radiant complexion. This versatile highlighter features a finely milled, silky formula that glides on effortlessly, allowing you to build the intensity from a subtle sheen to a blinding glow. Available in various shades that cater to different skin tones, this highlighter can be applied to the cheekbones, brow bones, and even the décolletage for a stunning effect. The long-lasting formula ensures that your glow stays put all day, making it perfect for both daytime and evening looks. Elevate your makeup routine with this essential glow-enhancing product.",,,taxable,,1,,0,0,,,,,1,,,30,BFragrances,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-5-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-6,Outlast All-Day Lip Color,1,1,visible,A lightweight blush that imparts a natural flush to the cheeks.,"The Velvet Touch Blush is designed to give your cheeks a fresh, youthful appearance. Its soft, silky formula blends seamlessly into the skin, providing a natural flush that mimics a healthy glow. Available in a variety of shades—from soft pinks to rich berries—this blush complements every skin tone. The buildable formula allows you to achieve your desired intensity, whether you prefer a subtle hint of color or a bold statement. Infused with skin-loving ingredients, it nourishes the skin while enhancing your natural beauty. Perfect for everyday wear, this blush is a must-have for achieving that perfect, rosy look.",,,taxable,,1,,0,0,,,,,1,,20,24,BBath & Body,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-6-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-7,Booster Face Serum,1,1,visible,A soothing cleanser that removes impurities without stripping moisture.,"The Gentle Foaming Cleanser is a must-have for anyone looking to maintain clean, healthy skin. Formulated with natural botanicals and soothing agents, this cleanser effectively removes makeup, dirt, and impurities without stripping the skin of its essential moisture. The luxurious foaming texture transforms from a creamy lather to a gentle wash, leaving your skin feeling refreshed and revitalized. Ideal for all skin types, this cleanser helps maintain your skin's natural barrier while providing hydration. Regular use promotes a clearer, more balanced complexion, making it a perfect addition to your daily skincare routine.",,,taxable,,1,,0,0,,,,,1,,,31,BHair Care,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-7-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-8,Booster Face Serum,1,0,visible,A nourishing lip balm that deeply moisturizes and protects lips.,"The Ultra Hydrating Lip Balm is your solution for dry, chapped lips. Infused with a blend of natural oils, shea butter, and beeswax, this balm delivers intense hydration while providing a protective barrier against the elements. Its creamy texture glides on smoothly, instantly soothing and softening your lips. Whether you're battling cold weather or just need a little extra moisture, this lip balm keeps your lips looking and feeling their best. With a hint of natural flavor, it’s perfect for everyday use and can easily fit into your pocket or purse for on-the-go hydration.",,,taxable,,1,,0,0,,,,,1,,61,71,BSkincare,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-8-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-9,Cleanser Concentrate,1,0,visible,A deeply nourishing hair mask that restores shine and strength.,"The Revitalizing Hair Mask is a luxurious treatment designed to transform dull, damaged hair into healthy, radiant locks. Enriched with essential oils and proteins, this mask penetrates deep into the hair shaft to repair and strengthen from within. Its creamy formula is perfect for all hair types, providing intense moisture and reducing frizz for a sleek, polished finish. After just one use, you'll notice improved manageability and shine. Ideal for weekly use or as needed, this hair mask is an essential step in your hair care routine to keep your tresses looking their best.",,,taxable,,1,,0,0,,,,,1,,49,51,BSkincare,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-9-min.png,,,,,,,,,0,,,,,,,,,,,,,
0,simple,cosmetic-product-10,Body Hero Dry Touch Oil Mist,1,0,visible,A detoxifying mask that purifies and rejuvenates the skin.,"The Clarifying Face Mask is formulated to draw out impurities and unclog pores, leaving your skin feeling refreshed and rejuvenated. With a blend of activated charcoal and clay, this mask works to absorb excess oil and remove toxins, making it ideal for oily and combination skin types. The cooling sensation provides a spa-like experience while the mask works its magic. After rinsing, your skin will feel cleaner, clearer, and more balanced. Suitable for weekly use, this mask helps maintain a healthy complexion and minimizes the appearance of blemishes, making it a staple in any skincare regimen.",,,taxable,,1,,0,0,,,,,1,,,68,BHair Care,Brandy Cosmetic Demo Prod,,https://images.wpbrandy.com/uploads/cosmetic-product-10-min.png,,,,,,,,,0,,,,,,,,,,,,,
